english;french
Special requirement(s);Clauses particulières
Special rounds;Munitions spéciales
Special sea detail (SAW II);Postes de manoeuvre
Special sections;Singularités
Special storage stipulation;Condition spéciale de stockage
Special to type tools;Outils particuliers au matériel
Specialisation (military personnel);Spécialité
Specialist engineer;Ingénieur spécialiste
Specialist trade (hull);Spécialité (coque)
Specialists in the field (of);Spécialistes du domaine (de)
Specific energy;Force
Specific gravity;Densité
Specific gravity;Densité (d'une mousse syntactique)
Specific gravity;Masse volumique
Specific impulse;Impulsion spécifique
Specific plan of action;Plan d'action spécifique
Specific pressure resistance coeffic;Coefficient spécifique de résistance
Specific properties;Performances mécaniques spécifiques
Specific tensile strength;Contrainte à rupture spécifique
Specific tooling;Outillage spécifique
Specific / individual / special;Spécifique
Specification;Spécification
Specifications Joint Technical (JTS;spécifications techniques de besoin
Specifications fuel;Caractéristiques de combustible
Specifications functional;Cahier des charges fonctionnel
Specifications overall;Spécifications d'ensemble
Specifications programme;Spécifications de réalisation de pro
Specifications sub-system;Spécifications de sous-système
Specifications technical and perfor;Spécifications techniques et de perf
Specification deck covering;Spécification de revêtement de ponts
Specification fluid circuit treatme;Spécification de traitement et de ri
Specification functional;Spécification fonctionnelle
Specification installation;Spécification d'installation d'appar
Specification management;Spécification de management
Specification operation;Spécification de conduite
Specification overall;Spécification d'ensemble
Specification paint;Spécification de peinture
Specification process;Spécification du processus
Specification procurement;Spécification d'approvisionnement
Specification procurement;Spécification technique de approvisi
Specification procurement;Spécification technique de commande
Specification requirement;Spécification technique des besoins
Specification ship;Spécification Navire
Specification sub-system;Spécification de sous-système
Specification supply;Spécification d'approvisionnement
Specification system;Spécification système
Specification technical;Spécification technique/ d'installat
Specified need;Besoin spécifié
Specified status/state;Etat spécifié
Specify (to);Préciser
Specimen;Eprouvette (d'essai)
Specimen edges;Arêtes de l'éprouvette
Specimen fixed end;Extrémité fixe de l'éprouvette
Specimen traction end;Face tendue de l'éprouvette
Specimen cylindrical tensile test;Eprouvette de traction cylindrique
Specimen notched;Eprouvette avec entaille
Specimen prismatic tensile test;Eprouvette de traction prismatique
Specimen unnotched test;Eprouvette non entaillée
Specimen/test piece;Eprouvette
Spectacle blind;Obturateur réversible
Spectrum;Spectre
Spectrum moment (where n is an integ;Moment spectral (n étant un nombre e
Spectrum Fourier;Spectre de Fourrier
Spectrum Fourier phase;Spectre de phase de Fourrier
Spectrum absorption;Spectre d'absorption
Spectrum acoustic;Spectre acoustique
Spectrum acoustic;Spectre de bruits
Spectrum amplitude;Spectre en amplitude
Spectrum continuous;Spectre continu
Spectrum cross;Spectre croisé
Spectrum design response;Spectre de réponse nominale
Spectrum design response;Spectre de réponse théorique
Spectrum electromagnetic;Spectre électromagnétique
Spectrum frequency;Spectre de fréquences
Spectrum infrared absorption;Spectre d'absorption infrarouge
Spectrum line;Spectre des raies
Spectrum power;Puissance spectrale
Spectrum shock response;Spectre de réponses au choc
Speech;Parole (téléphone radio)
Speech spectrum;Spectre vocal
Speed;Allure
Speed;Régime
Speed;Vitesse
Speed calculated on a measured mile;Vitesse sur la base
Speed filtering;Filtrage vitesse
Speed flank (US);Vitesse maximale
Speed governor (DG);Régulateur de vitesse (DA)
Speed increments (increase);Paliers (vitesse)
Speed letter;Note express
Speed of advance;Vitesse d'avance
Speed of advance of propeller;Vitesse d'avance
Speed of light in vacuum;Vitesse de la lumière dans le vide
Speed of propagation of electromagne;Vitesse de propagation des ondes éle
Speed of ship;Vitesse du navire
Speed of sound;Célérité du son
Speed over the ground;Vitesse sur le fond
Speed regulation;Régulation vitesse
Speed rise;Montée en allure
Speed through the water;Vitesse sur l'eau
Speedometer;Cinémomètre
Speed approach;Vitesse d'approche
Speed bending;Vitesse de pliage
Speed blade stalling;Vitesse de décrochage de pale
Speed cable deployment;Vitesse de déploiement de câble
Speed cavitation inception;Vitesse de cavitation
Speed circumferencial;Vitesse périphérique
Speed climbing;Vitesse ascensionnelle
Speed contract;Vitesse maximale contractuelle du na
Speed cranking (Gas Turb.);Vitesse de démarrage (TAG)
Speed creep;Vitesse très lente sous charge/vites
Speed critical;Vitesse critique
Speed cruising;Vitesse de croisière
Speed displacement;Vitesse translation
Speed engine;Vitesse moteur
Speed feed;Vitesse d'avance (d'un outil de coup
Speed firing  (Gas Turb.);Vitesse pour la mise à feu (TAG)
Speed hoisting (of a boat);Vitesse de hissage
Speed idling;Vitesse au ralenti
Speed ignition;Vitesse d'allumage
Speed inlet;Vitesse d'entrée
Speed light line;Vitesse à vide/vitesse de rentrée de
Speed longitudinal;Vitesse longitudinale
Speed maximum;Vitesse maximale
Speed maximum astern;Vitesse maximale en marche arrière
Speed maximum water;Vitesse maximale de l'eau
Speed melting (for electrode);Vitesse de fusion (pour une électrod
Speed never-exceed;Vitesse limite
Speed no load;Vitesse à vide/vitesse de rentrée de
Speed non-dimensional;Vitesse sans dimension
Speed operating;Vitesse de travail
Speed operational;Vitesse opérationnelle
Speed outlet;Vitesse de sortie
Speed own (in gunnery fire control;Vitesse tireur
Speed planing;Vitesse de plané
Speed rated;Vitesse nominale
Speed rated / nominal / design;Vitesse nominale
Speed replenishment;Vitesse de ravitaillement
Speed resonant;Vitesse de résonance
Speed rigid-rotor-mode critical;Vitesse critique du mode-rotor-rigid
Speed rotational (rpm);Vitesse de rotation (t/mn)
Speed rotor flexural critical;Vitesse critique de flexion (d'un ro
Speed runaway;Vitesse d'emballement
Speed running;Vitesse normale
Speed service;Vitesse de service
Speed slack rope;Vitesse à vide/vitesse de rentrée de
Speed specific;Vitesse spécifique
Speed standard;Vitesse de régime
Speed stationing;Vitesse de chasse
Speed steady;Vitesse d'équilibre
Speed submerged;Vitesse en plongée
Speed synchronous;Vitesse de synchronisation
Speed take-off safety;Vitesse de sécurité au décollage
Speed transverse;Vitesse transversale
Speed trial;Vitesse aux essais
Speed tripping;Vitesse de déclenchement
Speed true air-;Vitesse vraie
Speed welding;Vitesse de soudage
Speed whirling (critical);Vitesse (critique) de faux-rond (arb
Speed zero;Vitesse nulle
Spherical blowhole;Soufflure sphérique
Spherical bushing;Rotule
Spherical cap;Calotte sphérique
Spider;Croisillon
Spider line;Fil de réticule
Spigot;Doigt de guidage
Spigot;Téton
Spile;Verge
Spill;Gravelure (défaut de surface)
Spillage;Balayures
Spillage;Déversement
Spill-over cap;Bouchon de trop-plein
Spill-over (cap);Trop-plein (bouchon de)
Spin;Vrille
Spin a yarn (to);Filer une touée
Spin dryer;Essoreuse
Spin forming;Fluotournage
Spindle;Axe
Spindle;Fusée
Spindle;Mèche (de cabestan)
Spindle;Tige
Spindle;Tige de vanne (papillon ou à tournan
Spindle torque;Couple de pivotement
Spindle valve;Tige de soupape
Spinning;Filage
Spinning (laundry);Essorage
Spiral beater;Fouet en spirale
Spirit level;Niveau à bulle
Splash guard;Pare gouttes
Splash guard;Rabat-eau
Splce eye / soft eye;Epissure à oeil
Splice;Epissure
Splice (to);Episser
Splice cable;Epissure de câble
Splice fibre-optic;Raccord de fibres optiques
Splice long;Epissure longue
Spline;Cannelure
Spline;Clavette
Spline;Clavette coulissante
Splined end;Extrémité cannelée
Splining;Clavetage
Splinter;Eclat
Splinter box;Cloche à étrier
Splinter shield (US);Pare-éclats
Splinter shield/screen;Tôles pare-éclats
Split body;Corps en plusieurs pièces
Split chuck / taper shank quill;Pince américaine
Split clamp;Serrage fendu
Split die;Filière extensible
Split drum;Tambour cloisonné
Split gland;Fouloir en 2 parties
Split interstage plate;Canal de retour en 2 parties
Split mould;Moule à coins
Splits;Coins
Splitter;Déflecteur (dans coude)
Splitter;Diviseur
Splitter;Répartiteur d'écoulement
Split-beam binocular;Jumelle à double faisceau
Splutter (to) of an engine;Bafouiller
Spoil barge;Porteur de déblais
Spoiler;Volet ralentisseur
Spoke;Rayon de roue
Sponging out;Ecouvillonnage
Sponson;Encorbellement
Spontaneous combustion;Combustion spontanée
Spool;Bobine
Spool;Manchette
Spool;Tiroir
Spool;Tiroir de distribution
Spool piece;Manchette
Spool (on a logic valve);Distributeur (sur une vanne logique)
Spooling devices or mechanisms (on w;Guidages latéraux (sur tambours)
Spooling gear;Guide-câble
Spooling pulley;Appareil d'enroulement
Spoons measuring;Cuillers doseurs
Spoon coffee;Cuiller à café
Spoon dessert;Cuiller à dessert
Spoon draining;Cuiller à égoutter
Spoon soup;Cuiller à soupe
Spoon sundae;Cuiller à soda
Spoon table;Cuiller de table
Spot credit;Crédit ponctuel
Spot facer;Fraise à lamer
Spot (e.g. on radar);Tache lumineuse
Spotface (to);Blanchir
Spotlight;Spot
Spotting line (Naval Gunfire Support;Axe d'observation
Spot-facing;Lamage
Spot helicopter transfer;Aire hélicoptère
Spot weld;Point de soudure
Spout;Bec
Spout;Bec déverseur
Spout;Bec verseur
Spout;Déversoir
Spray;Embruns
Spray applicator;Canne à brouillard
Spray booth;Cabine de pistolage
Spray drift;Pulvérisation à côté de l'objet
Spray gun;Pistolet à peindre
Spray head;Embout diffuseur
Spray strip;Pare-embruns
Sprayer;Diffuseur
Sprayer;Pulvérisateur
Sprayer AFFF;Pulvérisateur mousse physique
Sprayer square-jet;Pulvérisateur à projection carrée
Sprayer twenty four-slot;Pulvérisateur 24 fentes
Spraying;Pulvérisation
Spraying in progress;Arrosage en cours
Spraying airless;Pulvérisation sans air
Spraying electrostatic;Pulvérisation électrostatique
Spraying/sprinkling (inside ship ma;Arrosage (à l'intérieur du navire s
Spray-painting;Peinture au pistolet
Spray-up;Pistolage/projection simultanée
Spray-up;Projection simultanée
Spread;Dispersion (de paramètres)
Spread;Distance entre les deux coques d'un
Spread;Distribuer
Spread of fire;Propagation du feu
Spread (to) (of a fire);Propager / s'étendre
Spreader;Coin d'écartement
Spreader;Tendeur
Spreader (on scrambling net);Débordoir
Spreader pilot ladder;Traverse stabilisatrice pour échelle
Spreadsheet;Tableur
Spring;Embossure
Spring;Ressort
Spring a leak (to);Faire une voie d'eau
Spring bolt;Etoquiau
Spring carrier;Assiette à ressort
Spring case (of relief valve);Boîte à ressort (d'une soupape de de
Spring clip;Doigt de fixation
Spring coiler;Machine à bobiner les ressorts
Spring constant in general;Constante d'un ressort en général
Spring for attachment of lightweight;Ressort pour abat-jour léger
Spring for attachment of lightweight;Ressort pour abat-jour léger
Spring for rotating seal (face) ring;Ressort du grain mobile
Spring guide;Guide ressort
Spring hawser/hurricane hawser;Garde montante de mauvais temps
Spring latching;Verrouillage par ressorts
Spring plate;Assiette à ressort
Spring retainer;Coupelle d'arrêt (pour ressort)
Spring seal;Lamelle d'étanchéité
Spring seat;Cuvette de ressort
Spring tides;Vive-eau
Spring (hawser)(for berthing);Garde montante (amarre)
Springback;Retour élastique
Springing;Vibration du navire causée par la ho
Springs multileaf;Ressort en lames
Spring buffer;Ressort de tampon
Spring clutch;Ressort d'embrayage
Spring coil;Ressort à boudin
Spring coil;Ressort hélicoïdal
Spring compensating;Ressort de compensation
Spring elliptic;Ressort à pincette
Spring extension;Ressort de traction
Spring governor;Ressort de régulateur
Spring hair;Ressort spiral
Spring helical metal;Ressort métallique hélicoïdal
Spring laminated or leaf or plate;Ressort à lame
Spring loading;Ressort extenseur
Spring needle;Ressort de tarage
Spring preload;Ressort accumulateur
Spring pressure;Ressort de pression
Spring release;Ressort de rappel
Spring restoring;Ressort de rappel
Spring return;Ressort récupérateur
Spring return (barrel)  or recupera;Ressort récupérateur (canon)
Spring setting;Ressort de tarage
Spring tachometer;Ressort tachymétrique
Spring tapered;Ressort aminci
Spring tapered;Ressort conique
Spring tappet;Ressort de poussoir
Spring torsion;Ressort de torsion
Spring valve;Ressort de soupape
Spring volute or spiral;Ressort spiral
Sprocket;Couronne à roue
Sprocket;Pignon d'entraînement à chaîne
Sprocket;Roue d'entraînement à chaîne
Sprockets (cable holder);Empreintes (du barbotin)
Sprue;Carotte
Sprue lock;Arrache carotte
Sprue-puller/anchor;Extracteur de carotte
Spunyarn;Petit cordage de chanvre
Spur gear;Engrenage droit
Spur / strut / stay;Arcboutant
Spurling pipe/chain pipe/navel pipe;Conduit de puits aux chaînes
Spurnwater;Brise-lames
Spyglass;Longue-vue
Squall;Grain
Square;Carré
Square;Equerre
Square;Equerre d'ajusteur
Square cut;Coupé d'équerre
Square drive;Carré
Square drive;Carré de manoeuvre
Square foot (unit of issue);Pied carré (unité de délivrance)
Square groove (butt) weld;Soudure bout à bout à bords droits
Square mashing grid;Grillage maille carrée
Square metre;Mètre carré
Square neck;A collet carré
Square top pedestal table;Guéridon à plateau carré
Square washer with round hole;Plaquette carrée
Square (wave) pulse;Pulsation carrée
Square-meshed sieve;Tamis à mailles carrées
Squaring-off of edges;Travail d'avivage
Squeezing out (of GRP cloth);Essorage (de tissus CVR)
Squegee;Raclette en caoutchouc
Squelch;Suppresseur de bruit de fond
Squelch circuit;Circuit de réglage silencieux (élimi
Squirt can;Burette
Ssystem stabilizer;Tranquilisation
Stabilisation hydraulic power pack;Centrale hydraulique de stabilisatio
Stabiliser;Stabilisateur
Stabilising resilient mount;Support stabilisateur
Stability;Stabilité
Stability Department;Stabilité
Stability data after damage;Calculs de stabilité après avarie
Stability data undamaged;Calculs de stabilité intacte
Stability / hull des. off.  manager;Chef groupe / BE coque stab.
Stability bubble surface;Stabilité de surface d'une bulle
Stability course;Stabilité de route
Stability damage;Stabilité après avarie
Stability dimensional;Stabilité dimensionnelle
Stability dimensional;Stabilité dimensionnelle
Stability directional;Stabilité de direction
Stability directional;Stabilité directionnelle
Stability dynamic;Stabilité dynamique
Stability explosive;Stabilité de substances explosives
Stability flow;Stabilité d'écoulement
Stability gel;Stabilité du gel
Stability initial;Stabilité initiale
Stability intact;Stabilité à l'état intact
Stability light;Stabilité à la lumière
Stability longitudinal;Stabilité longitudinale
Stability positional motion;Stabilité de route
Stability thermal;Stabilité thermique
Stability transverse stability;Stabilité transversale
Stabilization on;Marche stabilisation (commande)
Stabilization system;Installations de stabilisation
Stabilization tank support beams;Poutres de la citerne de stabilisati
Stabilize (to);Stabiliser
Stabilizer;Stabilisant
Stabilizer suction;Amortisseur de pulsations
Stabilizing float;Ballonnet de stabilisation
Stabilizing treatment (heat treatmen;Stabilisation (traitement thermique)
Stable;Stable
Stable equilibrium;Equilibre stable
Stack corner;Coin de pile (de conteneurs)
Stack pointer;Pointeur de pile
Stackable;Empilable
Stackable (e.g. missile containers);Gerbable (exe. conteneurs de missile
Stacked dipoles;Dipôles superposés
Stacked vertically;Superimposé
Stackup;Empilage (de tolérances cotes etc)
Stack matched;Ensemble apparié
Staff;Personnel
Staff office;Cabinet
Staff requirement;Fiche de caractéristiques militaires
Staff ensign;Mât de pavillon arrière
Staff jack;Mât de pavillon avant
Staff jack;Mât de pavillon de beaupré
Stage;Plate-forme
Stage planking(scaffold planking);Planche d'échafaudage
Staggered;Disposé en quinconce
Staggered;Quinconce en
Staggered riveting;Rivetage en quinconce
Staggered tightening;Serrage en étoile
Staging area fire team;Zone d'attente
Staging cat(amaran);Radeau à étages
Staging standard;Montants d'échafaudage
Staging/scaffolding;Echafaudage
Stain;Tache
Stain removal;Détachage
Stainless;Inoxydable
Stainless steel cladding;Placage en acier inoxydable
Stainless steel grade;Nuance d'inox
Stainless steel products;Fabrications en inox
Stainless steel ventilation ducting;Ligne de ventilation en acier inoxyd
Stairs freestanding;Echelle dégagée
Stairs from below;Escalier venant du pont inférieur
Stairs superimposed;Escaliers superposés
Stairs upwards;Escalier montant
Stairs upwards freestanding;Escalier montant isolé
Stairs upwards with room below;Escalier montant avec un local au-de
Stall flutter;Flottabilité instationnaire
Stall (to);Décrocher (surface portante)
Stall (to)(an engine);Caler (un moteur)
Stalling;Blocage
Stalling (of an engine);Calage (d'un moteur)
Stamp (to);Matricer
Stamping;Poinçonnage (de contrôle)
Stamping;Tôle emboutie
Stanchion;Epontille chandelier
Stanchion;Etançon
Stanchion;Montant
Stanchion component assembly;Liaison des éléments constitutifs de
Stanchion deck fitting;Douille de chandelier
Stanchion (for guardrail);Chandelier (pour rambardage ...)
Stanchions and miscellaneous deck fi;Montants pitonnages diverses
Stanchions deck;Chandelles de parquet
Stanchion-mounted perforated ceiling;Plafond perforé sur chandelle
Stanchion folding;Chandelier rabattable
Stanchion hatch;Chandelier d'écoutille
Stanchion moveable;Chandelier mobile
Stand by the anchor (to)/ to let go;Parer à mouiller
Stand by to ... !;Parez à ... !
Stand by!;Attention!
Stand idle (to);Arrêt (rester à l')
Stand idle (to);Rester à l'arrêt
Stand off (to);Courir au large
Stand on (to);Maintenir son cap et sa vitesse
Stand on (to);Poursuivre sa route
Stand out to sea (to);Gagner le large
Stand to the West;Mettre le cap à l'ouest
Stand toward the anchorage (to);Faire route sur le mouillage aller
Standard;Etalon
Standard;Modèle
Standard;Norme
Standard;Type
Standard AC starter;Démarreur CA standard
Standard acceleration of free fall;Accélération conventionnelle en chut
Standard contract;Contrat type
Standard deviation;Ecart type
Standard deviation from mean;Ecart type
Standard deviation of root mean squa;Ecart-type de la valeur efficace des
Standard flow port;Passage standard (vanne)
Standard network diagram;Réseau standard
Standard replacement;Echange standard
Standard test finger;Doigt d'épreuve normalisé
Standard throat;Gorge règlementaire
Standardization;Normalisation
Standardization;Standardisation
Standards document;Liste des normes
Standards (German);Deutsche Industrie Normen
Standard-design warping drum/gypsy;Poupée de trace normalisée
Standard British;Norme britannique
Standard naval engineering;Norme technique navale
Standby;Suppléance
Standby;Veille
Standby capability;Possibilité de reprise en secours
Standby on/off transmitter;Emetteur marche/arrêt/veille
Standby (on) (transmitter warm-up);Mise en veille (émetteur)
Standing Orders (Vol 2 of SORM)(SAW;Ordres Permanents (SAW II)
Standing block;Moufle fixe
Standing bolt set pin;Goujon prisonnier
Standing frame;Dormant
Standing order;Ordre permanent
Standing orders;Ordres permanents
Standing orders;Règlement
Standing part;Dormant
Standing rigging;Manoeuvres dormantes
Standing rules and provisions;Règles et dispositions retenues
Standing unit chair;Chauffeuse sur pieds
Standing wave ratio;Rapport d'ondes stationnaires
Standing (flange);Aile en attente
Standpipe;Colonne montante
Standstill;Arrêt (absence de mouvement)
Stand-alone;Autonome
Stand-off;Colonnette (entretoise)
Stand-off attack;Attaque à distance de sécurité
Stand-off distance (to);Distance de sauvegarde
Staple;Tapin de recouvrement /d'obturation
Staple fibre sliver;Ruban de verranne
Staple fibre (textile glass);Verranne
Staple Clip;Agrafe
Star connected;Etoile en
Star connection;"Couplage ""étoile"""
Starboard;Tribord
Starboard quarter;Hanche tribord
Starlock washer;Rondelle éventail
Start of a fire;Naissance d'un incendie
Start point (compass rose);Point initial
Start pumping;Commencez le pompage
Start to finish lag;Liaison inverse
Start to start lag;Liaison initiale
Start up (to);Démarrer
Start up (to);Mettre en route
Start (Gas Turb.);Lancement (TAG)
Start (to);Marche mettre en
Starter;Démarreur de moteur
Starter;Starter
Starter;Starter de tube luminescent
Starter holder;Douille de starter
Starter switchgear;Appareillage de démarrage
Starterless ballast with capacitive;Ballast sans starter à règlage de la
Starting;Amorçage
Starting;Amorçage
Starting;Démarrage (d'un moteur)
Starting;Lancement
Starting and utilities units;Coffrets de démarrage et de servitud
Starting date for the term of paymen;Date de départ du délai de mandateme
Starting event;Evénement de début
Starting stripe;Bande d'amorçage
Starting across-the-line;Démarrage direct
Starting direct on-line;Démarrage direct (en ligne)
Starting direct-on-line;Démarrage direct
Starting full-load;Démarrage à pleine charge
Starting rotor resistance;Démarrage par résistance rotorique
Starting self;Démarrage automatique (à)
Starting star-delta;Démarrage étoile-triangle
Starting stator resistance;Démarrage par résistance statorique
Startup;Démarrage (d'un ensemble important)
Startup;Fonction (mise en)
Startup panel;Tiroir de démarrage
Start/stop  off/on;Marche/arrêt
Star-delta starter;Démarreur étoile-triangle
State;Régime
State 123 (action war peacetime);Stade 123 (combat guerre paix)
State board (in ops room);Plot d'affichage
State of cleanliness;Etat de propreté
State of preservation;Etat de conservation
Statement;Rappel
Statement of damage;Déclaration d'avaries
Statement of requirements;Expression de besoins
Statement of technical requirements;Cahier des besoins techniques
Statement of work;Cahier des tâches à réaliser
Statement of work;Fiche-programme
Stateroom;Cabine (de luxe)
States (of a product);Etats (d'un produit)
State-of-the-art;A la pointe du progrès
Static;Parasites atmosphériques
Static;Statique
Static electricity;Electricité statique
Static exciter;Excitatrice statique
Static frequency changer;Changeur de fréquence statique
Static inverter;Onduleur statique
Static lift;Portance statique
Static mat;Tapis conducteur
Static suppressor;Filtre antiparasite
Static (first) moment of area;Moment statique d'une aire
Static (on radio circuit);Parasite
Station;Couple
Station;Poste
Station (to be in)(of a ship) to be;Poste être à son
Stationary axis of rotation;Axe de rotation fixe
Stationary element (of mechanical se;Grain fixe de garniture mécanique
Stationary process;Régime stationnaire
Stations cleansing;Locaux décontamination
Station-keeping;Tenue de poste
Station-marker box;Coffret de signalisation de nuit
Station Data Net Control;Station de commande de système de li
Station battery charging;Poste de charge d'accumulateurs
Station cleansing;Poste de décontamination
Station connecting;Station de raccordement (téléphone
Station cylinder charging;Poste de chargement de bouteilles (d
Station dual (multi-purpose RAS pos;Poste de RAM polyvalent
Station extinguishing;Poste d'extinction
Station eye wash;Poste rince-oeil
Station hooking;Poste d'accrochage
Station lifeboat;Station de sauvetage
Station lifeguard;Poste de frégate ou de destroyer de
Station loading;Poste de chargement
Station lower;Poste bas
Station master;Station maître
Station master;Station pilote (eg LORAN etc)
Station receiving;Poste de service
Station rescue;Poste de sauvetage
Station transfer;Poste de transfert
Station unknown;Station inconnue
Station unloading;Poste de déchargement
Station upper;Poste haut
Station upper deck medical;Poste de soins médicaux sur pont déc
Statistical degrees of freedom;Degrés de liberté statistique
Stator;Stator
Stator can;Gaine de stator
Stator laminations;Paquet de tôles stator
Stator vanes;Pales de stator
Status;Avancement
Status of control components;Consignations (d'essais)
Status of remaining non-compliances;Etat de non conformités résiduelles
Status progress report;Situation d'avancement
Status recorder;Consignateur d'état
Status selected;Etat force
Status sync. frame;Enveloppe périphérique (signalisatio
Status (e.g. of a project);Avancement
Status active;Etat en fluide
Status conditioning;Etat de conditionnement (conditionné
Status configuration;Etat de la configuration
Status configuration;Etats de configuration
Status current draw;Etat en courant
Status green disc;Etat disque vert
Status inactive;Etat hors fluide
Status indeterminate;Etat indéterminé
Status inspection;Etat de contrôle
Status installation/wiring;Etat de montage/câblage
Status prevailing;Etat défini
Status provisional scope of work;Etat prévisionnel des interventions
Status summary;Etat récapitulatif
Stauffer (box);Graisseur à réserve
Stave;Douelle (de palier d'arbre d'hélice)
Stave;Douve
Stave danbuoy;Bouée à mâtereau
Stay;Entretoise
Stay;Etai
Stay;Jambette
Stay bolt;Entretoise
Stay (to);Etayer
Staybolt;Tirant
Staying;Haubanage
Stay cage;Entretoise de cage
Stay dog;Tirant de cavalier
Steady;Constant
Steady;Fixe
Steady;Lunette (de tour)
Steady;Permanent
Steady;Régulier
Steady;Stabilisé
Steady;Stable
Steady course;Route stable
Steady rate;Régime permanent
Steady rate of turn;Vitesse de giration constante
Steady state;Régime établi
Steady (to);Redresser
Steadying chains;Chaînes de stabilisation
Steady-rate;Régime constant
Stealer;Virure de pointe
Stealth;Furtivité
Stealthy sensor head;Tête de senseur furtive
Steam a line of buoys (to);Suivre une ligne de bouées
Steam catapult;Catapulte à vapeur
Steam cleaning;Nettoyage à la vapeur
Steam into wind;"Faire route ""bout au vent"""
Steam sterilizer;Stérilisateur de vapeur
Steam trap;Purgeur
Steamer;Polycuiseur
Steam/vapour;Vapeur
Steel;Acier
Steel backing;Cale acier
Steel ball or steel sphere;Bille d'acier
Steel barrel;Tonnelet acier
Steel grade;Nuance d'acier
Steel grit;Grenaille d'acier
Steel hull and structures;Coque et structures acier
Steel pouring;Coulée de l'acier
Steel rule;Double-mètre en acier
Steel shore;Accore en acier
Steel strip;Latte d'acier
Steel superstructures;Superstructures acier
Steel work bench;Etabli en acier
Steelmaker;Aciériste
Steel High-speed;Acier à coupe rapide
Steel High-strength( HSS );Acier à haute résistance
Steel Navy grade armour-plated;Alliage Blindage Navire (ABN)
Steel air hardening;Acier trempant à l'air
Steel alloyed;Acier allié
Steel armouring;Acier de blindage
Steel babbitted;Acier au régule
Steel bright;Acier poli
Steel carbon;Acier au carbone
Steel case hardened;Acier cémenté
Steel cast;Acier coulé
Steel cast;Acier moulé
Steel chrome plated;Acier chromé
Steel clad;Acier plaqué
Steel core tempered;Acier trempé à coeur
Steel crucible;Acier au creuset
Steel drawn;Acier étiré
Steel drop forged;Acier matrice
Steel extra mild;Acier extra doux
Steel forged;Acier forgé
Steel free cutting;Acier  de décolletage
Steel galvanized;Acier galvanisé
Steel galvanized;Acier zingué
Steel hard;Acier dur
Steel heat resisting;Acier réfractaire
Steel heat-resisting;Acier réfractaire
Steel high speed;Acier rapide
Steel high strength hull;Acier coque à haute résistance
Steel high tensile;Acier à haute résistance
Steel high-strength shipbuilding;Acier de construction navale de hau
Steel high-tensile;Acier haute résistance
Steel high/very high yield strength;Acier à haute et à très haute limite
Steel hot-rolled;Acier laminé à chaud
Steel hull;Acier coque
Steel killed;Acier calmé
Steel low carbon;Acier demi-doux
Steel mild;Acier doux
Steel nickel;Acier au nickel
Steel nonalloyed;Acier non allié
Steel non-standard grade;Acier non standard
Steel plain carbon;Acier non allié
Steel puddled;Acier corroyé
Steel self-hardening;Acier autotrempant
Steel semi-hard;Acier mi-dur
Steel sheet zinc coated;Tôle d'acier zinguée
Steel shipbuilding;Acier coque
Steel sintered;Acier fritté
Steel spring;Acier bleu (tôle)
Steel stainless;Acier inoxydable
Steel standard grade hull;Acier coque ordinaire
Steel stub;"Acier ""Stub"""
Steel tempered;Acier trempé
Steel tool;Acier à outils
Steel unalloyed;Acier non allié
Steel very hard;Acier extra dur
Steel very high tensile;Acier extra dur
Steel welded;Acier corroyé
Steel wrought;Acier corroyé
Steep;Raide (courbe)
Steer a course (to);Gouverner à un cap
Steer a course (to);Suivre un cap
Steer for (to);Cap sur  (mettre le)
Steer for (to);Gouverner sur
Steer (to);Tenir la barre
Steerable propulsors rotatable throu;Propulseurs azimutaux orientables su
Steerage way;Effet de gouvernail
Steerageway;Erre nécessaire pour gouverner
Steering and stabilisation;Manoeuvrabilité / STAF.
Steering command panel;Transmetteur d'ordres de la barre
Steering crank;Manivelle de direction
Steering crank stub;Tête de manivelle de direction
Steering deflector (waterjet);Tuyère de direction (hydrojet)
Steering gear;Actionneur de gouvernail
Steering gear;Appareil à gouverner (AG)
Steering gear breakdown;Avaries de barre
Steering gear hydraulic power pack;Groupe moteur de l'appareil à gouver
Steering gear power pack;Moteur appareil à gouverner
Steering gear auxiliary;Appareil à gouverner auxiliaire
Steering gear electrical;Appareil à gouverner électrique
Steering gear electro-hydraulic;Appareil à gouverner électro-hydraul
Steering gear main;Appareil à gouverner principal
Steering rowlock;Ferrure pour aviron de queue
Steering servo-control;Asservissement de barre
Steering telemotor;Télémoteur de timonerie
Steering wheel spokes;Poignées de la roue du gouvernail
Steer(to);Gouverner
Stem;Etrave
Stem;Tige
Stem hawsepipe;Ecubier central/d'étrave
Stem to stern;De l'avant à l'Arrière du bateau
Stem (in butterfly valve);Tige
Stemming;Bourrage
Stem anti blow-out;Tige anti-éjection
Stem extension;Tige d'extension
Stem non-rotating;Tige non-tournante
Stem nozzle (Gas Turb.);Tige d'aube (TAG)
Stem rising;Tige montante
Stem valve;Tige de soupape
Stem valve;Tige de vanne
Step;Cran de manoeuvre
Step;Etape
Step;Marche (échelle)
Step;Redan (coque)
Step change;Changement brusque échelon
Step down transformer;Dévolteur
Step spacing (on ladder);Ecart entre marches
Step twist;Cales de rotation -guide d'ondes
Step (to);Arborer
Step (to);Avancer pas à pas (faire)
Stepped;A gradin
Stepped;Gradins (à)
Step-down transformer;Abaisseur de fréquence
Step-downvoltage;Dévoltage
Step-up transformer;Elévateur de tension (transformateur
